Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type
C11orf95,human synonym,MGI:1919667,Zfta,zinc finger translocation associated,protein coding gene
FAM200B,,No associated gene,,,
SGSM2,current symbol,MGI:2144695,Sgsm2,small G protein signaling modulator 2,protein coding gene
ZBED1,,No associated gene,,,
ZBED2,,No associated gene,,,
ZBED3,current symbol,MGI:1919364,Zbed3,"zinc finger, BED type containing 3",protein coding gene
ZBED4,current symbol,MGI:2682302,Zbed4,"zinc finger, BED type containing 4",protein coding gene
ZBED5,current symbol,MGI:1919220,Zbed5,zinc finger BED-type containing 5,protein coding gene
ZBED6,current symbol,MGI:3828086,Zbed6,"zinc finger, BED type containing 6",protein coding gene
ZBED9,,No associated gene,,,
AHR,current symbol,MGI:105043,Ahr,aryl-hydrocarbon receptor,protein coding gene
AHRR,current symbol,MGI:1333776,Ahrr,aryl-hydrocarbon receptor repressor,protein coding gene
AHRR,rat synonym,MGI:88588,Cyp1a1,"cytochrome P450, family 1, subfamily a, polypeptide 1",protein coding gene
ARNT,current symbol,MGI:88071,Arnt,aryl hydrocarbon receptor nuclear translocator,protein coding gene
ARNT,synonym,MGI:3044000,D3Umi11,"DNA segment, Chr 3, University of Michigan 11",DNA segment
ARNT,human synonym,MGI:2443183,Mia3,MIA SH3 domain ER export factor 3,protein coding gene
ARNT2,current symbol,MGI:107188,Arnt2,aryl hydrocarbon receptor nuclear translocator 2,protein coding gene
ARNTL,old symbol,MGI:1096381,Bmal1,basic helix-loop-helix ARNT like 1,protein coding gene
ARNTL2,old symbol,MGI:2684845,Bmal2,basic helix-loop-helix ARNT like 2,protein coding gene
ASCL1,current symbol,MGI:96919,Ascl1,achaete-scute family bHLH transcription factor 1,protein coding gene
ASCL2,current symbol,MGI:96920,Ascl2,achaete-scute family bHLH transcription factor 2,protein coding gene
ASCL3,current symbol,MGI:1928820,Ascl3,achaete-scute family bHLH transcription factor 3,protein coding gene
ASCL4,current symbol,MGI:1914591,Ascl4,achaete-scute family bHLH transcription factor 4,protein coding gene
ASCL5,current symbol,MGI:2685043,Ascl5,achaete-scute family bHLH transcription factor 5,protein coding gene
ATOH1,current symbol,MGI:104654,Atoh1,atonal bHLH transcription factor 1,protein coding gene
ATOH7,current symbol,MGI:1355553,Atoh7,atonal bHLH transcription factor 7,protein coding gene
ATOH8,current symbol,MGI:1918343,Atoh8,atonal bHLH transcription factor 8,protein coding gene
BHLHA15,current symbol,MGI:891976,Bhlha15,"basic helix-loop-helix family, member a15",protein coding gene
BHLHA9,current symbol,MGI:2444198,Bhlha9,"basic helix-loop-helix family, member a9",protein coding gene
BHLHE22,current symbol,MGI:1930001,Bhlhe22,"basic helix-loop-helix family, member e22",protein coding gene
BHLHE23,current symbol,MGI:2153710,Bhlhe23,"basic helix-loop-helix family, member e23",protein coding gene
BHLHE40,current symbol,MGI:1097714,Bhlhe40,"basic helix-loop-helix family, member e40",protein coding gene
BHLHE41,current symbol,MGI:1930704,Bhlhe41,"basic helix-loop-helix family, member e41",protein coding gene
CCDC169-SOHLH2,human symbol,MGI:1921684,Sohlh2,spermatogenesis and oogenesis specific basic helix-loop-helix 2,protein coding gene
CLOCK,current symbol,MGI:99698,Clock,clock circadian regulator,protein coding gene
EPAS1,current symbol,MGI:109169,Epas1,endothelial PAS domain protein 1,protein coding gene
FERD3L,current symbol,MGI:2150010,Ferd3l,Fer3 like bHLH transcription factor,protein coding gene
FIGLA,current symbol,MGI:1349421,Figla,folliculogenesis specific basic helix-loop-helix,protein coding gene
HAND1,current symbol,MGI:103577,Hand1,heart and neural crest derivatives expressed 1,protein coding gene
HAND2,current symbol,MGI:103580,Hand2,heart and neural crest derivatives expressed 2,protein coding gene
HELT,current symbol,MGI:3040955,Helt,helt bHLH transcription factor,protein coding gene
HES1,human synonym,MGI:1351861,Gatd3a,glutamine amidotransferase like class 1 domain containing 3A,protein coding gene
HES1,current symbol,MGI:104853,Hes1,hes family bHLH transcription factor 1,protein coding gene
HES2,current symbol,MGI:1098624,Hes2,hes family bHLH transcription factor 2,protein coding gene
HES3,current symbol,MGI:104877,Hes3,hes family bHLH transcription factor 3,protein coding gene
HES4,,No associated gene,,,
HES5,current symbol,MGI:104876,Hes5,hes family bHLH transcription factor 5,protein coding gene
HES6,current symbol,MGI:1859852,Hes6,hairy and enhancer of split 6,protein coding gene
HES7,current symbol,MGI:2135679,Hes7,hes family bHLH transcription factor 7,protein coding gene
HEY1,current symbol,MGI:1341800,Hey1,hairy/enhancer-of-split related with YRPW motif 1,protein coding gene
HEY2,current symbol,MGI:1341884,Hey2,hairy/enhancer-of-split related with YRPW motif 2,protein coding gene
HEYL,current symbol,MGI:1860511,Heyl,hairy/enhancer-of-split related with YRPW motif-like,protein coding gene
HIF1A,current symbol,MGI:106918,Hif1a,"hypoxia inducible factor 1, alpha subunit",protein coding gene
HIF3A,current symbol,MGI:1859778,Hif3a,"hypoxia inducible factor 3, alpha subunit",protein coding gene
LYL1,current symbol,MGI:96891,Lyl1,lymphoblastomic leukemia 1,protein coding gene
MAX,current symbol,MGI:96921,Max,Max protein,protein coding gene
MESP1,current symbol,MGI:107785,Mesp1,mesoderm posterior 1,protein coding gene
MESP2,current symbol,MGI:1096325,Mesp2,mesoderm posterior 2,protein coding gene
MITF,current symbol,MGI:104554,Mitf,melanogenesis associated transcription factor,protein coding gene
MITF,synonym,MGI:104638,Tff3,"trefoil factor 3, intestinal",protein coding gene
MLX,current symbol,MGI:108398,Mlx,MAX-like protein X,protein coding gene
MLX,human synonym,MGI:1927999,Mlxipl,MLX interacting protein-like,protein coding gene
MLXIP,current symbol,MGI:2141183,Mlxip,MLX interacting protein,protein coding gene
MLXIP,zebrafish symbol,MGI:1927999,Mlxipl,MLX interacting protein-like,protein coding gene
MLXIPL,current symbol,MGI:1927999,Mlxipl,MLX interacting protein-like,protein coding gene
MNT,synonym,MGI:1927811,Minute,minute imprinted gene in the Igf2 region,heritable phenotypic marker
MNT,current symbol,MGI:109150,Mnt,max binding protein,protein coding gene
MSC,current symbol,MGI:1333884,Msc,musculin,protein coding gene
MSC,human synonym,MGI:1914962,Slc25a37,"solute carrier family 25, member 37",protein coding gene
MSGN1,current symbol,MGI:1860483,Msgn1,mesogenin 1,protein coding gene
MXD1,current symbol,MGI:96908,Mxd1,MAX dimerization protein 1,protein coding gene
MXD3,current symbol,MGI:104987,Mxd3,Max dimerization protein 3,protein coding gene
MXD4,current symbol,MGI:104991,Mxd4,Max dimerization protein 4,protein coding gene
MXI1,current symbol,MGI:97245,Mxi1,"MAX interactor 1, dimerization protein",protein coding gene
MYC,current symbol,MGI:97250,Myc,"Myc proto-oncogene, bHLH transcription factor",protein coding gene
MYCL,current symbol,MGI:96799,Mycl,"Mycl proto-oncogene, bHLH transcription factor",protein coding gene
MYCN,current symbol,MGI:97357,Mycn,"Mycn proto-oncogene, bHLH transcription factor",protein coding gene
MYCN,human symbol,MGI:1332242,Mycs,"myc-like oncogene, s-myc protein",protein coding gene
MYCN,synonym,MGI:2673317,Tg(Th-MYCN)41Waw,"transgene insertion 41, William A Weiss",transgene
MYF5,current symbol,MGI:97252,Myf5,myogenic factor 5,protein coding gene
MYF6,current symbol,MGI:97253,Myf6,myogenic factor 6,protein coding gene
MYOD1,current symbol,MGI:97275,Myod1,myogenic differentiation 1,protein coding gene
MYOG,current symbol,MGI:97276,Myog,myogenin,protein coding gene
NCOA1,current symbol,MGI:1276523,Ncoa1,nuclear receptor coactivator 1,protein coding gene
NCOA2,current symbol,MGI:1276533,Ncoa2,nuclear receptor coactivator 2,protein coding gene
NCOA3,current symbol,MGI:1276535,Ncoa3,nuclear receptor coactivator 3,protein coding gene
NEUROD1,current symbol,MGI:1339708,Neurod1,neurogenic differentiation 1,protein coding gene
NEUROD2,current symbol,MGI:107755,Neurod2,neurogenic differentiation 2,protein coding gene
NEUROD4,current symbol,MGI:108055,Neurod4,neurogenic differentiation 4,protein coding gene
NEUROD6,current symbol,MGI:106593,Neurod6,neurogenic differentiation 6,protein coding gene
NEUROG1,current symbol,MGI:107754,Neurog1,neurogenin 1,protein coding gene
NEUROG2,current symbol,MGI:109619,Neurog2,neurogenin 2,protein coding gene
NEUROG3,current symbol,MGI:893591,Neurog3,neurogenin 3,protein coding gene
NHLH1,current symbol,MGI:98481,Nhlh1,nescient helix loop helix 1,protein coding gene
NHLH2,zebrafish symbol,MGI:98481,Nhlh1,nescient helix loop helix 1,protein coding gene
NHLH2,current symbol,MGI:97324,Nhlh2,nescient helix loop helix 2,protein coding gene
NPAS1,current symbol,MGI:109205,Npas1,neuronal PAS domain protein 1,protein coding gene
NPAS2,current symbol,MGI:109232,Npas2,neuronal PAS domain protein 2,protein coding gene
NPAS2,zebrafish symbol,MGI:2685987,Pasd1,PAS domain containing repressor 1,protein coding gene
NPAS3,current symbol,MGI:1351610,Npas3,neuronal PAS domain protein 3,protein coding gene
NPAS4,current symbol,MGI:2664186,Npas4,neuronal PAS domain protein 4,protein coding gene
OLIG1,current symbol,MGI:1355334,Olig1,oligodendrocyte transcription factor 1,protein coding gene
OLIG2,current symbol,MGI:1355331,Olig2,oligodendrocyte transcription factor 2,protein coding gene
OLIG3,current symbol,MGI:2149955,Olig3,oligodendrocyte transcription factor 3,protein coding gene
PTF1A,current symbol,MGI:1328312,Ptf1a,"pancreas specific transcription factor, 1a",protein coding gene
SCX,current symbol,MGI:102934,Scx,scleraxis scleraxis bHLH transcription factor,protein coding gene
SIM1,current symbol,MGI:98306,Sim1,single-minded family bHLH transcription factor 1,protein coding gene
SIM2,current symbol,MGI:98307,Sim2,single-minded family bHLH transcription factor 2,protein coding gene
SOHLH1,current symbol,MGI:2684956,Sohlh1,spermatogenesis and oogenesis specific basic helix-loop-helix 1,protein coding gene
SOHLH2,current symbol,MGI:1921684,Sohlh2,spermatogenesis and oogenesis specific basic helix-loop-helix 2,protein coding gene
SREBF1,current symbol,MGI:107606,Srebf1,sterol regulatory element binding transcription factor 1,protein coding gene
SREBF2,current symbol,MGI:107585,Srebf2,sterol regulatory element binding factor 2,protein coding gene
TAL1,current symbol,MGI:98480,Tal1,T cell acute lymphocytic leukemia 1,protein coding gene
TAL2,synonym,MGI:98481,Nhlh1,nescient helix loop helix 1,protein coding gene
TAL2,current symbol,MGI:99540,Tal2,T cell acute lymphocytic leukemia 2,protein coding gene
TCF12,current symbol,MGI:101877,Tcf12,transcription factor 12,protein coding gene
TCF15,current symbol,MGI:104664,Tcf15,transcription factor 15,protein coding gene
TCF21,current symbol,MGI:1202715,Tcf21,transcription factor 21,protein coding gene
TCF23,current symbol,MGI:1934960,Tcf23,transcription factor 23,protein coding gene
TCF23,zebrafish symbol,MGI:3780500,Tcf24,transcription factor 24,protein coding gene
TCF24,current symbol,MGI:3780500,Tcf24,transcription factor 24,protein coding gene
TCF3,current symbol,MGI:98510,Tcf3,transcription factor 3,protein coding gene
TCF3,old symbol,MGI:1202876,Tcf7l1,"transcription factor 7 like 1 (T cell specific, HMG box)",protein coding gene
TCF4,synonym,MGI:109128,Hnf4a,"hepatic nuclear factor 4, alpha",protein coding gene
TCF4,current symbol,MGI:98506,Tcf4,transcription factor 4,protein coding gene
TCF4,synonym,MGI:1202879,Tcf7l2,"transcription factor 7 like 2, T cell specific, HMG box",protein coding gene
TCFL5,current symbol,MGI:2672878,Tcfl5,transcription factor-like 5 (basic helix-loop-helix),protein coding gene
TFAP4,current symbol,MGI:103239,Tfap4,transcription factor AP4,protein coding gene
TFE3,current symbol,MGI:98511,Tfe3,transcription factor E3,protein coding gene
TFEB,current symbol,MGI:103270,Tfeb,transcription factor EB,protein coding gene
TFEC,current symbol,MGI:1333760,Tfec,transcription factor EC,protein coding gene
TWIST1,current symbol,MGI:98872,Twist1,twist basic helix-loop-helix transcription factor 1,protein coding gene
TWIST2,current symbol,MGI:104685,Twist2,twist basic helix-loop-helix transcription factor 2,protein coding gene
USF1,rat symbol,MGI:3648482,Tstd1,thiosulfate sulfurtransferase (rhodanese)-like domain containing 1,protein coding gene
USF1,current symbol,MGI:99542,Usf1,upstream transcription factor 1,protein coding gene
USF2,current symbol,MGI:99961,Usf2,upstream transcription factor 2,protein coding gene
USF3,current symbol,MGI:2685454,Usf3,upstream transcription factor family member 3,protein coding gene
POGK,current symbol,MGI:1918842,Pogk,pogo transposable element with KRAB domain,protein coding gene
AC023509.3,,No associated gene,,,
ATF1,current symbol,MGI:1298366,Atf1,activating transcription factor 1,protein coding gene
ATF1,human synonym,MGI:107430,Gdnf,glial cell line derived neurotrophic factor,protein coding gene
ATF2,current symbol,MGI:109349,Atf2,activating transcription factor 2,protein coding gene
ATF2,human synonym,MGI:107430,Gdnf,glial cell line derived neurotrophic factor,protein coding gene
ATF3,current symbol,MGI:109384,Atf3,activating transcription factor 3,protein coding gene
ATF4,current symbol,MGI:88096,Atf4,activating transcription factor 4,protein coding gene
ATF5,current symbol,MGI:2141857,Atf5,activating transcription factor 5,protein coding gene
ATF6,current symbol,MGI:1926157,Atf6,activating transcription factor 6,protein coding gene
ATF6B,current symbol,MGI:105121,Atf6b,activating transcription factor 6 beta,protein coding gene
ATF7,old symbol,MGI:2141857,Atf5,activating transcription factor 5,protein coding gene
ATF7,current symbol,MGI:2443472,Atf7,activating transcription factor 7,protein coding gene
BACH1,current symbol,MGI:894680,Bach1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",protein coding gene
BACH1,synonym,MGI:2442836,Brip1,BRCA1 interacting protein C-terminal helicase 1,protein coding gene
BACH2,current symbol,MGI:894679,Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2",protein coding gene
BATF,current symbol,MGI:1859147,Batf,"basic leucine zipper transcription factor, ATF-like",protein coding gene
BATF2,current symbol,MGI:1921731,Batf2,"basic leucine zipper transcription factor, ATF-like 2",protein coding gene
BATF3,current symbol,MGI:1925491,Batf3,"basic leucine zipper transcription factor, ATF-like 3",protein coding gene
CEBPA,current symbol,MGI:99480,Cebpa,CCAAT/enhancer binding protein alpha,protein coding gene
CEBPB,current symbol,MGI:88373,Cebpb,CCAAT/enhancer binding protein beta,protein coding gene
CEBPD,current symbol,MGI:103573,Cebpd,CCAAT/enhancer binding protein delta,protein coding gene
CEBPE,current symbol,MGI:103572,Cebpe,CCAAT/enhancer binding protein epsilon,protein coding gene
CEBPG,current symbol,MGI:104982,Cebpg,CCAAT/enhancer binding protein gamma,protein coding gene
CREB1,current symbol,MGI:88494,Creb1,cAMP responsive element binding protein 1,protein coding gene
CREB3,current symbol,MGI:99946,Creb3,cAMP responsive element binding protein 3,protein coding gene
CREB3,human synonym,MGI:1916603,Creb3l4,cAMP responsive element binding protein 3-like 4,protein coding gene
CREB3L1,current symbol,MGI:1347062,Creb3l1,cAMP responsive element binding protein 3-like 1,protein coding gene
CREB3L2,current symbol,MGI:2442695,Creb3l2,cAMP responsive element binding protein 3-like 2,protein coding gene
CREB3L3,current symbol,MGI:2384786,Creb3l3,cAMP responsive element binding protein 3-like 3,protein coding gene
CREB3L4,current symbol,MGI:1916603,Creb3l4,cAMP responsive element binding protein 3-like 4,protein coding gene
CREB5,current symbol,MGI:2443973,Creb5,cAMP responsive element binding protein 5,protein coding gene
CREBL2,current symbol,MGI:1889385,Crebl2,cAMP responsive element binding protein-like 2,protein coding gene
CREBZF,current symbol,MGI:2675296,Crebzf,CREB/ATF bZIP transcription factor,protein coding gene
CREM,current symbol,MGI:88495,Crem,cAMP responsive element modulator,protein coding gene
DBP,current symbol,MGI:94866,Dbp,D site albumin promoter binding protein,protein coding gene
DBP,synonym,MGI:95669,Gc,vitamin D binding protein,protein coding gene
DBP,human synonym,MGI:105089,Hsd17b4,hydroxysteroid (17-beta) dehydrogenase 4,protein coding gene
DBP,rat synonym,MGI:106181,Mybbp1a,MYB binding protein (P160) 1a,protein coding gene
DDIT3,current symbol,MGI:109247,Ddit3,DNA-damage inducible transcript 3,protein coding gene
FOS,current symbol,MGI:95574,Fos,"Fos proto-oncogene, AP-1 transcription factor subunit",protein coding gene
FOSB,current symbol,MGI:95575,Fosb,"Fos B proto-oncogene, AP-1 transcription factor subunit",protein coding gene
FOSL1,current symbol,MGI:107179,Fosl1,fos-like antigen 1,protein coding gene
FOSL2,current symbol,MGI:102858,Fosl2,fos-like antigen 2,protein coding gene
HLF,synonym,MGI:109169,Epas1,endothelial PAS domain protein 1,protein coding gene
HLF,current symbol,MGI:96108,Hlf,hepatic leukemia factor,protein coding gene
JDP2,current symbol,MGI:1932093,Jdp2,Jun dimerization protein 2,protein coding gene
JUN,current symbol,MGI:96646,Jun,"Jun proto-oncogene, AP-1 transcription factor subunit",protein coding gene
JUNB,current symbol,MGI:96647,Junb,"jun B proto-oncogene, AP-1 transcription factor subunit",protein coding gene
JUNB,human synonym,MGI:1916974,Rnaseh2a,"ribonuclease H2, large subunit",protein coding gene
JUND,current symbol,MGI:96648,Jund,"jun D proto-oncogene, AP-1 transcription factor subunit",protein coding gene
MAF,current symbol,MGI:96909,Maf,MAF bZIP transcription factor,protein coding gene
MAF,rat synonym,MGI:1914718,Mmd,monocyte to macrophage differentiation-associated,protein coding gene
MAFA,human synonym,MGI:1355294,Klrg1,"killer cell lectin-like receptor subfamily G, member 1",protein coding gene
MAFA,zebrafish symbol,MGI:96909,Maf,MAF bZIP transcription factor,protein coding gene
MAFA,current symbol,MGI:2673307,Mafa,MAF bZIP transcription factor A,protein coding gene
MAFB,zebrafish symbol,MGI:96909,Maf,MAF bZIP transcription factor,protein coding gene
MAFB,current symbol,MGI:104555,Mafb,MAF bZIP transcription factor B,protein coding gene
MAFF,current symbol,MGI:96910,Maff,Maf bZIP transcription factor F,protein coding gene
MAFG,current symbol,MGI:96911,Mafg,Maf bZIP transcription factor G,protein coding gene
MAFK,current symbol,MGI:99951,Mafk,Maf bZIP transcription factor K,protein coding gene
NFE2,current symbol,MGI:97308,Nfe2,"nuclear factor, erythroid derived 2",protein coding gene
NFE2L1,current symbol,MGI:99421,Nfe2l1,"nuclear factor, erythroid derived 2,-like 1",protein coding gene
NFE2L2,current symbol,MGI:108420,Nfe2l2,"nuclear factor, erythroid derived 2, like 2",protein coding gene
NFE2L3,current symbol,MGI:1339958,Nfe2l3,"nuclear factor, erythroid derived 2, like 3",protein coding gene
NFIL3,current symbol,MGI:109495,Nfil3,"nuclear factor, interleukin 3, regulated",protein coding gene
NRL,synonym,MGI:96757,Lcn2,lipocalin 2,protein coding gene
NRL,current symbol,MGI:102567,Nrl,neural retina leucine zipper gene,protein coding gene
TEF,current symbol,MGI:98663,Tef,thyrotroph embryonic factor,protein coding gene
XBP1,current symbol,MGI:98970,Xbp1,X-box binding protein 1,protein coding gene
AC008770.3,,No associated gene,,,
AC092835.1,,No associated gene,,,
AC138696.1,,No associated gene,,,
AEBP2,current symbol,MGI:1338038,Aebp2,AE binding protein 2,protein coding gene
AKAP8,current symbol,MGI:1928488,Akap8,A kinase anchor protein 8,protein coding gene
AKAP8L,current symbol,MGI:1860606,Akap8l,A kinase anchor protein 8-like,protein coding gene
ANKZF1,current symbol,MGI:1098746,Ankzf1,ankyrin repeat and zinc finger domain containing 1,protein coding gene
ATMIN,current symbol,MGI:2682328,Atmin,ATM interactor,protein coding gene
BCL11A,current symbol,MGI:106190,Bcl11a,BCL11 transcription factor A,protein coding gene
BCL11B,current symbol,MGI:1929913,Bcl11b,B cell leukemia/lymphoma 11B,protein coding gene
BCL6,current symbol,MGI:107187,Bcl6,B cell leukemia/lymphoma 6,protein coding gene
BCL6B,current symbol,MGI:1278332,Bcl6b,"B cell CLL/lymphoma 6, member B",protein coding gene
BNC1,synonym,MGI:1100867,Asic2,acid-sensing ion channel 2,protein coding gene
BNC1,current symbol,MGI:1097164,Bnc1,basonuclin zinc finger protein 1,protein coding gene
BNC2,current symbol,MGI:2443805,Bnc2,basonuclin zinc finger protein 2,protein coding gene
CASZ1,current symbol,MGI:1196251,Casz1,castor zinc finger 1,protein coding gene
CCDC17,current symbol,MGI:1915667,Ccdc17,coiled-coil domain containing 17,protein coding gene
CHAMP1,current symbol,MGI:1196398,Champ1,chromosome alignment maintaining phosphoprotein 1,protein coding gene
CPXCR1,current symbol,MGI:2685989,Cpxcr1,"CPX chromosome region, candidate 1",protein coding gene
CTCF,current symbol,MGI:109447,Ctcf,CCCTC-binding factor,protein coding gene
CTCFL,current symbol,MGI:3652571,Ctcfl,CCCTC-binding factor like,protein coding gene
DPF1,current symbol,MGI:1352748,Dpf1,double PHD fingers 1,protein coding gene
DPF3,current symbol,MGI:1917377,Dpf3,double PHD fingers 3,protein coding gene
DZIP1,current symbol,MGI:1914311,Dzip1,DAZ interacting protein 1,protein coding gene
E4F1,current symbol,MGI:109530,E4f1,E4F transcription factor 1,protein coding gene
EEA1,current symbol,MGI:2442192,Eea1,early endosome antigen 1,protein coding gene
EGR1,current symbol,MGI:95295,Egr1,early growth response 1,protein coding gene
EGR2,current symbol,MGI:95296,Egr2,early growth response 2,protein coding gene
EGR3,current symbol,MGI:1306780,Egr3,early growth response 3,protein coding gene
EGR4,current symbol,MGI:99252,Egr4,early growth response 4,protein coding gene
FAM170A,current symbol,MGI:2684939,Fam170a,"family with sequence similarity 170, member A",protein coding gene
FEZF1,current symbol,MGI:1920441,Fezf1,Fez family zinc finger 1,protein coding gene
FEZF2,current symbol,MGI:1859823,Fezf2,Fez family zinc finger 2,protein coding gene
FIZ1,current symbol,MGI:1344336,Fiz1,Flt3 interacting zinc finger protein 1,protein coding gene
GFI1,current symbol,MGI:103170,Gfi1,growth factor independent 1 transcription repressor,protein coding gene
GFI1B,current symbol,MGI:1276578,Gfi1b,growth factor independent 1B,protein coding gene
GLI1,current symbol,MGI:95727,Gli1,GLI-Kruppel family member GLI1,protein coding gene
GLI2,current symbol,MGI:95728,Gli2,GLI-Kruppel family member GLI2,protein coding gene
GLI3,current symbol,MGI:95729,Gli3,GLI-Kruppel family member GLI3,protein coding gene
GLI4,,No associated gene,,,
GLIS1,current symbol,MGI:2386723,Glis1,GLIS family zinc finger 1,protein coding gene
GLIS2,current symbol,MGI:1932535,Glis2,GLIS family zinc finger 2,protein coding gene
GLIS3,current symbol,MGI:2444289,Glis3,GLIS family zinc finger 3,protein coding gene
GTF3A,current symbol,MGI:1913846,Gtf3a,general transcription factor III A,protein coding gene
GZF1,current symbol,MGI:1921783,Gzf1,GDNF-inducible zinc finger protein 1,protein coding gene
HIC1,current symbol,MGI:1338010,Hic1,hypermethylated in cancer 1,protein coding gene
HIC2,current symbol,MGI:1929869,Hic2,hypermethylated in cancer 2,protein coding gene
HINFP,current symbol,MGI:2429620,Hinfp,histone H4 transcription factor,protein coding gene
HIVEP1,current symbol,MGI:96100,Hivep1,human immunodeficiency virus type I enhancer binding protein 1,protein coding gene
HIVEP2,current symbol,MGI:1338076,Hivep2,human immunodeficiency virus type I enhancer binding protein 2,protein coding gene
HIVEP3,current symbol,MGI:106589,Hivep3,human immunodeficiency virus type I enhancer binding protein 3,protein coding gene
HKR1,current symbol,MGI:96105,Hkr1,GLI-Kruppel family member HKR1,unclassified other genome feature
IKZF1,current symbol,MGI:1342540,Ikzf1,IKAROS family zinc finger 1,protein coding gene
IKZF2,current symbol,MGI:1342541,Ikzf2,IKAROS family zinc finger 2,protein coding gene
IKZF3,current symbol,MGI:1342542,Ikzf3,IKAROS family zinc finger 3,protein coding gene
IKZF4,current symbol,MGI:1343139,Ikzf4,IKAROS family zinc finger 4,protein coding gene
IKZF5,current symbol,MGI:1914393,Ikzf5,IKAROS family zinc finger 5,protein coding gene
INSM1,current symbol,MGI:1859980,Insm1,insulinoma-associated 1,protein coding gene
INSM2,current symbol,MGI:1930787,Insm2,insulinoma-associated 2,protein coding gene
JAZF1,current symbol,MGI:2141450,Jazf1,JAZF zinc finger 1,protein coding gene
KAT7,current symbol,MGI:2182799,Kat7,K(lysine) acetyltransferase 7,protein coding gene
KCMF1,rat synonym,MGI:2445168,Elmod3,ELMO/CED-12 domain containing 3,protein coding gene
KCMF1,current symbol,MGI:1921537,Kcmf1,potassium channel modulatory factor 1,protein coding gene
KIN,current symbol,MGI:96676,Kin,Kin17 DNA and RNA binding protein,protein coding gene
KLF1,current symbol,MGI:1342771,Klf1,Kruppel-like transcription factor 1 (erythroid),protein coding gene
KLF1,zebrafish symbol,MGI:2181068,Klf17,Kruppel-like transcription factor 17,protein coding gene
KLF10,current symbol,MGI:1101353,Klf10,Kruppel-like transcription factor 10,protein coding gene
KLF11,current symbol,MGI:2653368,Klf11,Kruppel-like transcription factor 11,protein coding gene
KLF12,current symbol,MGI:1333796,Klf12,Kruppel-like transcription factor 12,protein coding gene
KLF13,current symbol,MGI:1354948,Klf13,Kruppel-like transcription factor 13,protein coding gene
KLF14,current symbol,MGI:3577024,Klf14,Kruppel-like transcription factor 14,protein coding gene
KLF14,synonym,MGI:1932575,Sp6,trans-acting transcription factor 6,protein coding gene
